Order ID,Date,Customer ID,Product ID,Product Name,Category,Qty,Price,Coupon (Y/N),Coupon Amount,Tracking
201897,5/26/2025,105445,300190-Pink,ReefSafe UV Leggings,Apparel,1,35.99,N, -   ,3USP259567602
201897,5/26/2025,105445,200549-Purple,HydroThrive Safety Leash,Accessories,1,18.99,N, -   ,3USP259567602
201897,5/26/2025,105445,200556-Green,ReefFlex Anti-Slip Deck Pad,Accessories,2,64.99,N, -   ,3USP259567602
201897,5/26/2025,105445,200559-Blue,ShoreLine Collapsible Paddle,Accessories,2,59.99,N, -   ,3USP259567602
,,,,,,,,,,
201907,5/26/2025,122525,200558-Pink,AquaLume LED Light Kit,Accessories,1,18.99,N, -   ,4FDX173952630
201907,5/26/2025,122525,300185-Aqua,SunShield Rash Guard,Apparel,1,29.99,N, -   ,4FDX173952630
201907,5/26/2025,122525,300191-Black,Logo Tshirt,Apparel,1,21.99,N, -   ,4FDX173952630
201907,5/26/2025,122525,200549-Purple,HydroThrive Safety Leash,Accessories,1,18.99,N, -   ,4FDX173952630
201907,5/26/2025,122525,100254-Aqua,Carve Performance Board,Boards,5,799,N, -   ,4FDX173952630
201907,5/26/2025,122525,200549-Pink,HydroThrive Safety Leash,Accessories,1,18.99,N, -   ,4FDX173952630
,,,,,,,,,,
201923,5/29/2025,109303,200550-Aqua,WaveRider Waterproof Case,Accessories,1,15.99,N, -   ,1UPS490526209
201923,5/29/2025,109303,100254-Green,Carve Performance Board,Boards,1,799,N, -   ,1UPS490526209
201923,5/29/2025,109303,300185-Aqua,SunShield Rash Guard,Apparel,1,29.99,N, -   ,1UPS490526209
201923,5/29/2025,109303,200556-Black,ReefFlex Anti-Slip Deck Pad,Accessories,3,64.99,N, -   ,1UPS490526209
,,,,,,,,,,
201924,5/25/2025,128827,300187-Purple,WaveRider Water Shoes,Apparel,1,54.99,N, -   ,1USP865497379
201924,5/25/2025,128827,200559-Black,ShoreLine Collapsible Paddle,Accessories,2,59.99,N, -   ,1USP865497379
201924,5/25/2025,128827,200559-Pink,ShoreLine Collapsible Paddle,Accessories,1,59.99,N, -   ,1USP865497379
201924,5/25/2025,128827,300191-Purple,Logo Tshirt,Apparel,2,21.99,N, -   ,1USP865497379
,,,,,,,,,,
201928,5/30/2025,121811,100251-Aqua,AquaGlide Touring Board,Boards,1,399,N, -   ,4USP243195693
201928,5/30/2025,121811,300185-Blue,SunShield Rash Guard,Apparel,1,29.99,N, -   ,4USP243195693
201928,5/30/2025,121811,200559-Blue,ShoreLine Collapsible Paddle,Accessories,1,59.99,N, -   ,4USP243195693
201928,5/30/2025,121811,300185-Black,SunShield Rash Guard,Apparel,5,29.99,N, -   ,4USP243195693
,,,,,,,,,,
201929,5/29/2025,105170,200553-Black,ClearVue Underwater Camera Mount,Accessories,1,29.99,N, -   ,1USP958951005
,,,,,,,,,,
201933,5/29/2025,129549,200552-Aqua,SurfStream Balance Cushion,Accessories,1,49.99,N, -   ,1FDX859037726
201933,5/29/2025,129549,300191-Green,Logo Tshirt,Apparel,1,21.99,N, -   ,1FDX859037726
201933,5/29/2025,129549,100257-Aqua,Tranquil Tide Yoga Board,Boards,1,379,N, -   ,1FDX859037726
201933,5/29/2025,129549,100248-Green,SwiftStream Adventure,Boards,1,199,N, -   ,1FDX859037726
201933,5/29/2025,129549,300186-Purple,AquaFlex Board Shorts,Apparel,1,49.99,N, -   ,1FDX859037726
,,,,,,,,,,
201935,5/26/2025,118115,100252-Black,Wave Rider Surf Series,Boards,2,449,N, -   ,5USP841877327
201935,5/26/2025,118115,200549-Aqua,HydroThrive Safety Leash,Accessories,2,18.99,N, -   ,5USP841877327
,,,,,,,,,,
201939,5/26/2025,124132,200559-Aqua,ShoreLine Collapsible Paddle,Accessories,1,59.99,N, -   ,2USP295416289
,,,,,,,,,,
201941,5/27/2025,121247,200549-Blue,HydroThrive Safety Leash,Accessories,1,18.99,N, -   ,2FDX52154614
,,,,,,,,,,
201942,5/25/2025,129825,200551-Purple,TideLock Deck Bag,Accessories,5,79.99,N, -   ,3UPS713313744
201942,5/25/2025,129825,200559-Aqua,ShoreLine Collapsible Paddle,Accessories,2,59.99,N, -   ,3UPS713313744
201942,5/25/2025,129825,200549-Black,HydroThrive Safety Leash,Accessories,3,18.99,N, -   ,3UPS713313744
,,,,,,,,,,
201949,5/25/2025,120778,100256-Pink,Ocean Sprint Racing Pro,Boards,3,"1,499.00",N, -   ,3FDX38351859
,,,,,,,,,,
201953,5/25/2025,119169,100254-Pink,Carve Performance Board,Boards,1,799,N, -   ,4DHL493885665
201953,5/25/2025,119169,300185-Green,SunShield Rash Guard,Apparel,5,29.99,N, -   ,4DHL493885665
201953,5/25/2025,119169,200556-Pink,ReefFlex Anti-Slip Deck Pad,Accessories,1,64.99,N, -   ,4DHL493885665
201953,5/25/2025,119169,100256-Pink,Ocean Sprint Racing Pro,Boards,1,"1,499.00",N, -   ,4DHL493885665
,,,,,,,,,,
201971,5/30/2025,129684,200549-Aqua,HydroThrive Safety Leash,Accessories,1,18.99,Y,1.9,2USP514759063
,,,,,,,,,,
201976,5/28/2025,129686,100254-Purple,Carve Performance Board,Boards,1,799,N, -   ,4UPS858077032
201976,5/28/2025,129686,100249-Pink,Sea Bird Cruiser,Boards,1,249,N, -   ,4UPS858077032
201976,5/28/2025,129686,200559-Black,ShoreLine Collapsible Paddle,Accessories,2,59.99,N, -   ,4UPS858077032
,,,,,,,,,,
201978,5/31/2025,104414,200549-Green,HydroThrive Safety Leash,Accessories,1,18.99,Y,1.9,2USP629277012
,,,,,,,,,,
201980,5/30/2025,122429,300189-Pink,HydroCap Waterproof Hat,Apparel,1,24.99,N, -   ,3USP968076739
201980,5/30/2025,122429,300185-Aqua,SunShield Rash Guard,Apparel,2,29.99,N, -   ,3USP968076739
,,,,,,,,,,
201983,5/26/2025,109614,200559-Purple,ShoreLine Collapsible Paddle,Accessories,3,59.99,N, -   ,5DHL83228877
